dataDocumento;nome;tipoDespesa;valorDocumento
2024-05-26 00:00:00;Dr. Fernando Máximo;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2845.0
2024-06-03 11:31:05;Guilherme Uchoa;COMBUSTÍVEIS E LUBRIFICANTES.;221.82
2024-07-01 00:00:00;Aécio Neves;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2781.36
2024-07-02 00:00:00;Kiko Celeguim;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;4500.0
2024-07-07 00:00:00;Marcel van Hattem;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5639.34
2024-07-08 00:00:00;Marcos Pereira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;600.0
2024-07-09 00:00:00;João Leão;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1566.24
2024-07-11 00:00:00;Roberta Roma;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
2024-07-12 00:00:00;André Ferreira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2924.0
2024-07-12 00:00:00;Elcione Barbalho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;498.26
2024-07-12 00:00:00;Pastor Henrique Vieira;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1082.33
2024-07-13 00:00:00;Hugo Leal;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;955.53
2024-07-13 00:00:00;Joseildo Ramos;COMBUSTÍVEIS E LUBRIFICANTES.;297.94
2024-07-14 00:00:00;Arlindo Chinaglia;TELEFONIA;191.58
2024-07-15 00:00:00;Lafayette de Andrada;COMBUSTÍVEIS E LUBRIFICANTES.;278.68
2024-07-15 00:00:00;Otto Alencar Filho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1824.4
2024-07-17 00:00:00;Joseildo Ramos;COMBUSTÍVEIS E LUBRIFICANTES.;254.99
2024-07-17 00:00:00;Laura Carneiro;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1234.07
2024-07-18 00:00:00;Elcione Barbalho;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;600.49
